intervalo de hora,BusCH1,BusHC1,BusCH2,BusHC2,BusCH3,BusHC3,BusCH4,BusHC4,BusCH5,BusHC5,BusCH6,BusHC6,BusCH7,BusHC7,BusCH8,BusHC8
7:00 - 7:10,3,1,3,3,4,1,8,6,3,3,3,2,1,0,2,2
7:10 - 7:20,0,1,4,5,3,2,5,4,3,3,2,3,0,0,7,7
7:20 - 7:30,2,0,7,4,5,2,6,5,2,4,4,2,0,1,4,4
7:30 - 7:40,3,2,5,4,4,9,6,6,1,3,1,2,0,1,5,5
7:40 - 7:50,2,1,4,5,3,6,7,6,3,5,1,1,1,1,3,3
7:50 - 8:00,3,0,3,5,5,6,4,5,2,2,0,4,1,0,2,2
8:00 - 8:10,0,0,8,4,5,4,8,4,4,1,2,3,2,0,0,0
8:10 - 8:20,0,3,8,5,5,4,8,3,4,1,2,3,3,1,7,7
8:20 - 8:30,1,2,7,3,7,7,5,3,4,3,2,2,2,1,3,3
8:30 - 8:40,2,2,5,4,9,6,9,7,1,3,4,1,1,0,6,6
8:40 - 8:50,0,3,3,5,5,10,5,6,5,10,6,1,1,2,4,4
8:50 - 9:00,3,4,2,4,5,7,7,10,5,10,1,2,0,3,5,5
9:00 - 9:10,0,1,10,5,8,6,6,7,5,6,1,2,0,0,8,8
9:10 - 9:20,2,1,4,3,8,5,6,5,3,1,0,1,1,1,4,4
9:20 - 9:30,2,0,4,5,7,5,6,5,4,4,3,2,0,0,6,6
9:30 - 9:40,0,2,4,5,5,5,10,5,5,10,5,2,1,1,8,8
9:40 - 9:50,0,1,5,6,7,4,3,4,2,7,5,3,0,1,7,7
9:50 - 10:00,1,0,7,3,8,4,9,4,2,6,2,0,1,2,2,2
10:00 - 10:10,0,1,7,4,8,3,5,4,0,2,4,4,1,1,6,6
10:10 - 10:20,1,0,7,8,8,6,5,2,0,4,0,2,0,2,0,0
10:20 - 10:30,2,1,5,5,7,2,3,2,2,5,0,1,0,2,8,8
10:30 - 10:40,0,1,5,5,6,5,5,3,3,0,3,1,0,0,4,4
10:40 - 10:50,4,2,3,5,6,3,2,1,2,1,2,0,1,0,4,4
10:50 - 11:00,0,0,9,4,12,2,6,3,4,3,7,1,0,1,2,2
11:00 - 11:10,1,3,1,4,6,4,1,3,3,2,2,2,0,0,4,4
11:10 - 11:20,0,2,3,4,7,9,2,5,4,4,1,2,2,1,3,3
11:20 - 11:30,2,2,4,5,5,7,6,4,3,2,1,3,0,0,3,3
11:30 - 11:40,1,1,4,7,4,3,5,4,2,9,1,2,0,0,5,5
11:40 - 11:50,2,1,5,5,5,3,5,5,1,9,2,3,0,2,3,3
11:50 - 12:00,0,0,3,6,6,1,4,3,1,3,5,2,2,3,6,6
12:00 - 12:10,1,2,6,4,4,2,4,3,2,4,8,4,0,2,2,2
12:10 - 12:20,3,3,4,10,4,4,7,2,3,6,4,1,1,1,4,4
12:20 - 12:30,1,1,4,2,3,3,6,4,4,6,5,5,0,1,2,2
12:30 - 12:40,2,1,7,4,4,4,0,4,3,3,3,3,0,2,3,3
12:40 - 12:50,3,2,8,9,4,4,2,5,4,4,2,6,1,3,2,2
12:50 - 1:00,2,3,5,6,3,6,3,2,3,4,5,3,1,0,3,3
1:00 - 1:10,1,1,4,5,5,2,0,3,2,5,4,7,2,0,0,0
1:10 - 1:20,3,1,4,7,7,3,3,2,3,3,1,3,4,2,2,2
1:20 - 1:30,0,0,1,6,5,5,4,0,4,6,2,3,0,1,5,5
1:30 - 1:40,0,4,4,4,4,6,3,3,4,4,2,4,1,2,4,4
1:40 - 1:50,1,0,7,3,5,4,3,3,0,5,3,4,2,1,2,2
1:50 - 2:00,0,1,4,8,4,5,5,2,0,4,1,1,2,1,6,6
2:00 - 2:10,0,1,4,4,4,6,0,1,2,4,0,2,1,2,0,0
2:10 - 2:20,2,1,5,3,5,2,2,2,2,3,2,3,1,2,7,7
2:20 - 2:30,1,0,1,2,4,2,0,2,3,1,0,4,0,0,3,3
2:30 - 2:40,1,0,6,2,6,2,3,3,3,10,0,2,3,1,5,5
2:40 - 2:50,2,1,5,3,5,2,1,3,2,11,3,0,2,1,1,1
2:50 - 3:00,0,2,6,2,4,1,1,1,2,9,2,1,1,0,3,3
3:00 - 3:10,1,1,4,2,4,3,2,2,1,7,2,3,1,0,7,7
3:10 - 3:20,0,0,12,3,2,4,3,2,1,6,1,2,3,0,6,6
3:20 - 3:30,2,1,4,3,5,4,0,0,0,6,0,0,0,2,4,4
3:30 - 3:40,0,0,4,4,5,5,0,3,1,7,1,3,0,1,6,6
3:40 - 3:50,1,3,7,5,3,4,8,1,1,5,0,5,0,1,5,5
3:50 - 4:00,1,2,7,4,4,3,3,3,0,4,1,2,4,0,7,7
4:00 - 4:10,2,3,4,3,2,3,2,2,0,3,1,3,0,0,4,4
4:10 - 4:20,3,4,10,4,5,4,4,4,1,11,0,5,1,1,4,4
4:20 - 4:30,1,2,8,3,3,2,0,4,2,2,0,1,1,0,2,2
4:30 - 4:40,3,2,3,6,3,3,3,4,2,3,3,5,0,2,0,0
4:40 - 4:50,0,1,4,3,7,1,1,3,2,2,5,4,1,1,4,4
4:50 - 5:00,0,2,5,8,4,4,1,3,0,3,7,7,1,0,3,3
5:00 - 5:10,1,2,5,6,3,5,3,2,1,4,4,3,2,0,8,8
5:10 - 5:20,0,0,7,5,4,6,2,2,1,2,5,2,2,2,6,6
5:20 - 5:30,1,3,8,3,4,5,2,4,0,4,5,5,2,0,2,2
5:30 - 5:40,3,1,6,7,5,4,1,4,1,1,3,2,0,1,2,2
5:40 - 5:50,2,2,9,5,5,4,0,4,3,0,3,4,0,1,5,5
